Codigo,Localidad,ActividadEconomica,Year,PorcUso
4,"SAN CRISTÓBAL","HOTELES",2013,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2013,0.001336459
4,"SAN CRISTÓBAL","LOTES",2013,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2013,0.021811080
4,"SAN CRISTÓBAL","OTROS",2013,0.020283490
4,"SAN CRISTÓBAL","RESIDENCIAL",2013,0.884897377
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2013,0.028486032
4,"SAN CRISTÓBAL","BODEGAS",2014,0.017022655
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2014,0.009916563
4,"SAN CRISTÓBAL","COMERCIO",2014,0.016507242
4,"SAN CRISTÓBAL","HOTELES",2014,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2014,0.001252193
4,"SAN CRISTÓBAL","LOTES",2014,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2014,0.022283873
4,"SAN CRISTÓBAL","OTROS",2014,0.020106477
4,"SAN CRISTÓBAL","RESIDENCIAL",2014,0.886392067
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2014,0.026518929
4,"SAN CRISTÓBAL","BODEGAS",2015,0.017327681
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2015,0.009812237
4,"SAN CRISTÓBAL","COMERCIO",2015,0.016525201
4,"SAN CRISTÓBAL","HOTELES",2015,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2015,0.000751708
4,"SAN CRISTÓBAL","LOTES",2015,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2015,0.021939918
4,"SAN CRISTÓBAL","OTROS",2015,0.020387767
4,"SAN CRISTÓBAL","RESIDENCIAL",2015,0.887190241
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2015,0.026065247
4,"SAN CRISTÓBAL","BODEGAS",2016,0.017183886
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2016,0.010089042
4,"SAN CRISTÓBAL","COMERCIO",2016,0.016351013
4,"SAN CRISTÓBAL","HOTELES",2016,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2016,0.000746284
4,"SAN CRISTÓBAL","LOTES",2016,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2016,0.021923920
4,"SAN CRISTÓBAL","OTROS",2016,0.020747009
4,"SAN CRISTÓBAL","RESIDENCIAL",2016,0.887054775
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2016,0.025904072
4,"SAN CRISTÓBAL","BODEGAS",2017,0.015919405
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2017,0.009957074
4,"SAN CRISTÓBAL","COMERCIO",2017,0.016592010
4,"SAN CRISTÓBAL","HOTELES",2017,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2017,0.000736707
4,"SAN CRISTÓBAL","LOTES",2017,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2017,0.021640843
4,"SAN CRISTÓBAL","OTROS",2017,0.020924231
4,"SAN CRISTÓBAL","RESIDENCIAL",2017,0.889736686
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2017,0.024493045
4,"SAN CRISTÓBAL","BODEGAS",2018,0.016395490
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2018,0.009876200
4,"SAN CRISTÓBAL","COMERCIO",2018,0.016188338
4,"SAN CRISTÓBAL","HOTELES",2018,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2018,0.000595209
4,"SAN CRISTÓBAL","LOTES",2018,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2018,0.021441742
4,"SAN CRISTÓBAL","OTROS",2018,0.020898552
4,"SAN CRISTÓBAL","RESIDENCIAL",2018,0.890419910
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2018,0.024184559
5,"USME","BODEGAS",2010,0.016142269
5,"USME","CLINICAS, HOSPITALES, CENTROS MEDICOS",2010,0.000512705
5,"USME","COMERCIO",2010,0.017668467
5,"USME","HOTELES",2010,0.000000000
5,"USME","INDUSTRIA",2010,0.012581637
5,"USME","LOTES",2010,0.000017636
5,"USME","OFICINAS",2010,0.012495069
5,"USME","OTROS",2010,0.021115508
5,"USME","RESIDENCIAL",2010,0.887175378
5,"USME","UNIVERSIDADES Y COLEGIOS",2010,0.032291331
5,"USME","BODEGAS",2011,0.015907095
5,"USME","CLINICAS, HOSPITALES, CENTROS MEDICOS",2011,0.000489909
5,"USME","COMERCIO",2011,0.017472781
5,"USME","HOTELES",2011,0.000000000
5,"USME","INDUSTRIA",2011,0.013860790
5,"USME","LOTES",2011,0.000026121
5,"USME","OFICINAS",2011,0.012889298
5,"USME","OTROS",2011,0.021129048
5,"USME","RESIDENCIAL",2011,0.887195247
5,"USME","UNIVERSIDADES Y COLEGIOS",2011,0.031029712
5,"USME","BODEGAS",2012,0.015736202
5,"USME","CLINICAS, HOSPITALES, CENTROS MEDICOS",2012,0.000473313
5,"USME","COMERCIO",2012,0.017256449
5,"USME","HOTELES",2012,0.000000000
5,"USME","INDUSTRIA",2012,0.013987553
5,"USME","LOTES",2012,0.000016281
5,"USME","OFICINAS",2012,0.012678168
5,"USME","OTROS",2012,0.021477615
5,"USME","RESIDENCIAL",2012,0.888100775
5,"USME","UNIVERSIDADES Y COLEGIOS",2012,0.030273644
5,"USME","BODEGAS",2013,0.014983480
5,"USME","CLINICAS, HOSPITALES, CENTROS MEDICOS",2013,0.000449457
5,"USME","COMERCIO",2013,0.016623416
5,"USME","HOTELES",2013,0.000000000
5,"USME","INDUSTRIA",2013,0.013282559
